ips1;ips2;ips3;ips4;ips5;ips6;ips7;ips8;ipk
39;375;361;359;333;343;0;2;295
81;0;0;0;0;0;0;2;35
271;28;23;0;0;0;0;2;123
329;355;339;364;276;3;167;3;304
343;0;0;0;0;0;0;3;8
381;4;357;373;333;348;167;4;345
376;35;339;386;29;338;167;2;306
4;39;352;386;319;314;142;1;3
329;39;326;35;314;314;142;1;283
371;4;335;336;31;329;5;2;291
43;0;0;0;0;0;0;3;43
367;335;37;364;376;343;167;2;315
333;355;33;336;281;31;142;1;273
39;39;361;373;352;352;167;3;336
0;0;0;0;0;0;0;3;38
343;36;339;377;348;352;142;4;333
39;4;387;4;1;14;28;2;287
39;4;383;4;31;4;32;1;338
39;375;33;364;305;309;377;1;319
362;36;348;35;364;339;317;3;343
305;21;0;0;305;317;339;2;21
324;35;304;355;305;339;309;364;331
314;65;0;0;377;32;32;339;217
314;33;309;309;309;317;341;32;319
376;365;378;4;32;305;32;339;35
333;35;317;336;314;317;377;309;332
295;225;0;0;364;339;341;364;241
338;35;335;314;341;309;314;317;327
343;375;339;359;309;2;305;364;324
19;0;0;0;364;377;341;339;201
329;335;348;355;341;339;364;314;341
4;39;365;377;305;341;339;305;353
348;35;357;364;314;32;377;339;346
371;365;339;336;339;377;314;32;345
376;385;322;386;364;305;364;377;36
333;35;361;341;318;341;377;364;348
329;325;265;314;235;341;318;314;305
352;36;326;355;32;318;32;341;337
362;36;335;314;0;341;364;364;305
367;35;357;364;364;341;235;364;343
0;0;0;0;318;235;318;32;149
376;4;391;359;235;318;341;341;345
357;385;378;364;364;364;235;314;345
362;385;335;318;341;32;318;341;34
343;375;348;373;341;364;235;32;337
319;15;0;0;318;318;364;235;196
29;275;235;264;32;341;235;318;285
238;265;257;25;314;364;235;341;283
67;0;0;0;318;318;364;32;173
357;385;326;277;364;341;235;314;325
0;0;0;0;364;235;341;364;163
376;36;348;355;314;32;318;235;328
324;35;304;314;341;235;32;364;319
367;135;0;0;235;364;235;235;196
367;375;352;377;235;341;278;278;325
357;39;361;377;235;364;235;364;335
324;295;296;345;364;235;341;235;304
386;375;378;386;235;278;235;235;314
329;32;3;35;341;278;32;364;325
386;4;387;386;32;352;364;278;359
367;37;37;386;235;278;235;32;32
386;4;37;4;341;355;278;364;362
324;26;0;0;235;341;278;32;22
39;39;348;364;32;278;341;355;348
333;345;348;355;235;32;32;355;326
286;0;0;0;341;278;364;341;201
314;335;313;0;235;32;278;341;267
371;39;378;386;235;278;341;32;337
367;365;348;368;352;341;355;278;347
324;345;287;336;341;278;341;278;316
338;36;348;327;235;278;355;32;32
357;385;361;345;278;341;32;341;341
262;0;0;0;341;355;278;32;195
376;4;37;377;235;32;364;278;34
381;375;348;4;364;355;341;352;365
348;36;335;368;235;32;355;278;325
286;5;0;0;235;32;278;352;19
286;29;204;0;352;278;32;318;256
305;0;0;29;278;341;318;364;237
333;36;326;327;235;318;32;341;32
343;36;339;341;341;278;352;318;334
381;39;326;341;32;341;352;278;341
357;34;339;35;235;235;278;318;307
0;0;0;0;352;278;318;32;159
338;3;278;35;32;318;278;32;313
286;24;261;14;235;352;278;32;248
324;335;304;27;235;32;235;278;257
329;35;304;305;39;4;39;36;354
352;355;339;341;235;278;235;32;307
305;315;27;282;318;27;278;318;295
367;4;352;386;352;235;278;352;34
31;275;296;318;235;278;318;352;298
348;24;0;0;278;318;27;235;211
338;35;304;318;27;278;27;318;306
4;4;37;377;278;32;278;352;347
281;145;0;0;318;235;32;318;202
348;4;348;373;235;32;352;235;326
376;375;343;364;235;32;318;278;326
0;0;0;0;235;32;278;27;138
4;4;378;377;27;364;318;32;353
386;4;27;35;235;235;278;318;309
352;36;33;327;318;318;235;364;326
324;35;348;364;318;235;32;32;322
367;4;357;4;32;364;364;318;361
376;4;348;364;235;318;235;32;325
338;325;235;268;364;364;364;318;322
362;355;343;341;318;364;364;364;351
314;295;283;273;364;273;364;235;3
348;35;361;35;364;364;32;273;341
376;36;348;386;235;273;364;364;338
3;35;326;323;318;364;318;318;327
329;325;3;323;273;318;318;364;319
1;0;0;0;32;273;364;318;172
271;225;0;0;377;364;377;205;227
324;29;23;0;318;32;205;377;258
343;385;357;386;364;205;318;318;335
39;375;365;336;352;364;352;32;357
376;36;348;377;377;377;377;205;35
314;26;27;205;235;205;364;352;276
314;275;0;0;205;377;352;364;236
371;375;361;373;235;32;364;377;347
362;375;383;373;377;364;205;352;349
333;325;291;159;364;26;352;26;293
352;345;357;364;32;352;205;352;331
367;375;352;364;26;364;352;32;344
352;36;348;341;235;32;364;32;33
376;4;391;391;205;318;32;364;346
352;39;33;336;32;32;32;364;342
367;365;317;3;235;4;364;352;338
367;335;317;382;352;364;318;32;344
39;4;365;377;364;32;4;377;374
371;385;339;373;377;364;32;32;356
386;385;348;4;317;318;364;352;359
371;375;37;4;32;32;32;364;355
39;385;0;0;377;32;364;32;27
386;4;387;4;352;364;32;364;372
4;39;37;377;32;317;352;317;355
348;375;313;3;364;377;364;32;345
248;17;0;0;317;364;318;377;224
357;355;317;35;32;317;364;352;342
348;375;317;377;235;235;317;364;321
286;26;248;3;26;317;364;32;294
333;35;339;118;235;364;317;32;297
352;35;348;364;32;355;235;235;32
381;315;0;0;32;317;317;352;25
271;0;0;0;364;355;32;235;193
367;37;348;355;352;32;332;317;345
352;335;326;35;364;355;332;35;346
248;0;0;0;317;318;317;317;19
0;0;0;0;35;32;332;355;17
3;375;352;332;318;317;317;317;329
357;385;339;364;317;317;355;318;344
371;4;317;35;355;332;32;317;345
262;255;0;0;32;317;332;318;226
376;4;365;359;355;318;317;332;353
1;0;0;0;317;32;332;317;162
86;0;0;0;26;332;318;332;166
0;0;0;0;26;317;352;317;156
